股票代码,股票名称,当日股价,当日涨跌幅,操作策略,持有天数,持有期间总收益率,回测期间总收益率
sh.600420,国药现代,10.86,-0.18,观望,0,0.0,0.0
sh.600419,天润乳业,9.99,1.32,持有,22,-1.87,-24.65
sh.600422,昆药集团,14.28,-0.42,观望,0,0.0,0.0
sh.600421,*ST华嵘,6.87,-1.58,持有,15,1.78,17.36
sh.600428,中远海特,6.39,-0.78,观望,0,0.0,0.0
sh.600425,青松建化,3.81,0.53,观望,0,0.0,0.0
sh.600426,华鲁恒升,21.27,-1.85,持有,15,-2.92,-16.95
sh.600423,柳化股份,3.72,-2.11,卖出,14,9.73,79.08
sh.600429,三元股份,4.61,0.0,观望,0,0.0,0.0
sh.600433,冠豪高新,3.16,-0.32,观望,0,0.0,0.0
sh.600435,北方导航,14.41,2.2,观望,0,0.0,0.0
sh.600438,通威股份,20.27,1.25,观望,0,0.0,0.0
sh.600439,瑞贝卡,3.54,-1.39,观望,0,0.0,0.0
sh.600446,金证股份,20.18,8.03,观望,0,0.0,0.0
sh.600448,华纺股份,3.5,-0.85,观望,0,0.0,0.0
sh.600444,国机通用,16.71,0.24,持有,16,5.36,47.29
sh.600436,片仔癀,198.12,-0.27,持有,264,-14.06,1.94
sh.600452,涪陵电力,9.37,-0.64,观望,0,0.0,0.0
sh.600449,宁夏建材,13.39,-0.22,观望,0,0.0,0.0
sh.600459,贵研铂业,14.9,-1.19,持有,16,0.54,-8.57
sh.600456,宝钛股份,30.46,-1.2,观望,0,0.0,0.0
sh.600460,士兰微,24.76,-0.32,观望,0,0.0,0.0
sh.600458,时代新材,13.38,-2.19,观望,0,0.0,0.0
sh.600461,洪城环境,9.34,-0.32,持有,2,-0.53,36.25
sh.600455,博通股份,27.9,-1.38,持有,91,27.86,38.76
sh.600462,*ST九有,0.17,0.0,持有,90,-87.59,-70.38
sh.600463,空港股份,10.72,2.58,持有,41,5.3,44.84
sh.600467,好当家,2.41,-1.23,观望,0,0.0,0.0
sh.600470,六国化工,6.14,-0.97,持有,1,-0.97,26.23
sh.600469,风神股份,5.63,-0.35,观望,0,0.0,0.0
sh.600468,百利电气,7.28,-0.27,持有,16,1.25,78.54
sh.600475,华光环能,16.73,9.99,持有,15,56.06,98.24
sh.600478,科力远,5.74,-1.2,持有,2,-0.86,-46.54
sh.600479,千金药业,10.61,-0.28,观望,0,0.0,0.0
sh.600477,杭萧钢构,2.7,0.0,观望,0,0.0,0.0
sh.600482,中国动力,22.8,-1.17,观望,0,0.0,0.0
sh.600480,凌云股份,11.64,-0.68,持有,54,-27.02,8.08
sh.600481,双良节能,5.79,-1.36,观望,0,0.0,0.0
sh.600476,湘邮科技,19.51,2.25,观望,0,0.0,0.0
sh.600483,福能股份,9.9,-0.9,观望,0,0.0,0.0
sh.600487,亨通光电,15.45,-1.59,观望,0,0.0,0.0
sh.600488,津药药业,4.42,0.23,观望,0,0.0,0.0
sh.600491,龙元建设,3.56,-0.84,持有,16,-3.26,17.7
sh.600490,鹏欣资源,4.47,-2.61,观望,0,0.0,0.0
sh.600486,扬农化工,59.11,1.98,持有,19,-1.34,-36.91
sh.600489,中金黄金,13.78,-2.89,持有,5,-3.84,49.49
sh.600493,凤竹纺织,6.46,-0.46,观望,0,0.0,0.0
sh.600495,晋西车轴,4.94,0.0,观望,0,0.0,0.0
sh.600500,中化国际,3.87,-0.51,观望,0,0.0,0.0
sh.600499,科达制造,10.35,1.67,观望,0,0.0,0.0
sh.600496,精工钢构,3.27,-0.61,观望,0,0.0,0.0
sh.600497,驰宏锌锗,5.28,-1.12,观望,0,0.0,0.0
sh.600502,安徽建工,4.84,0.21,持有,7,2.54,-5.48
sh.600505,西昌电力,15.82,-2.29,观望,0,0.0,0.0
sh.600503,华丽家族,2.63,0.0,观望,0,0.0,0.0
sh.600498,烽火通信,21.15,-0.56,观望,0,0.0,0.0
